1903,Johnny,M
1903,Johnson,M
1903,Jonathan,M
1903,Nathan,M
1904,Johanna,F
1904,John,F
1904,John,M
1904,Johnie,F
1904,Johnie,M
1904,Johnnie,F
1904,Johnnie,M
1904,Johnny,M
1904,Johnsie,F
1904,Johnson,M
1904,Johny,M
1904,Jonathan,M
1904,Nathan,M
1905,Johanna,F
1905,John,F
1905,John,M
1905,Johnie,F
1905,Johnie,M
1905,Johnnie,F
1905,Johnnie,M
1905,Johnny,M
1905,Johnsie,F
1905,Johnson,M
1905,Johny,M
1905,Jonathan,M
1905,Nathan,M
1906,Johanna,F
1906,John,F
1906,John,M
1906,Johney,M
1906,Johnie,F
1906,Johnie,M
1906,Johnnie,F
1906,Johnnie,M
1906,Johnny,F
1906,Johnny,M
1906,Johnsie,F
1906,Johnson,M
1906,Johny,M
1906,Jonathan,M
1906,Nathan,M
1907,Johanna,F
1907,John,F
1907,John,M
1907,Johney,M
1907,Johnie,F
1907,Johnie,M
1907,Johnnie,F
1907,Johnnie,M
1907,Johnny,F
1907,Johnny,M
1907,Johnnye,F
1907,Johnsie,F
1907,Johnson,M
1907,Johny,M
1907,Jonathan,M
1907,Nathan,M
1908,Johanna,F
1908,Johannah,F
1908,John,F
1908,John,M
1908,Johnetta,F
1908,Johnie,F
1908,Johnie,M
1908,Johnnie,F
1908,Johnnie,M
1908,Johnny,F
1908,Johnny,M
1908,Johnnye,F
1908,Johnsie,F
1908,Johnson,M
1908,Johny,M
1908,Jonathan,M
1908,Nathan,M
1909,Johanna,F
1909,Johannah,F
1909,John,F
1909,John,M
1909,Johnetta,F
1909,Johney,M
1909,Johnie,F
1909,Johnie,M
1909,Johnnie,F
1909,Johnnie,M
1909,Johnny,F
1909,Johnny,M
1909,Johnsie,F
1909,Johnson,M
1909,Johny,M
1909,Jonathan,M
1909,Nathan,M
1910,Johan,M
1910,Johanna,F
1910,John,F
1910,John,M
1910,Johney,M
1910,Johnie,F
1910,Johnie,M
1910,Johnnie,F
1910,Johnnie,M
1910,Johnny,F
1910,Johnny,M
1910,Johnsie,F
1910,Johnson,M
1910,Johny,M
1910,Jonathan,M
1910,Nathan,M
1911,Johanna,F
