Year,Name,Gender
1957,Jonathan,M
1957,Jonathon,M
1957,Johnathan,M
1957,Johnathon,M
1957,Jonothan,M
1957,Joenathan,M
1958,Johnetta,F
1958,Johnita,F
1958,Jonathan,F
1958,Jonathan,M
1958,Jonathon,M
1958,Johnathan,M
1958,Johnathon,M
1958,Johathan,M
1958,Jonothan,M
1959,Johnetta,F
1959,Jonathan,F
1959,Johnita,F
1959,Jonathan,M
1959,Jonathon,M
1959,Johnathan,M
1959,Johnathon,M
1959,Joenathan,M
1959,Jonothan,M
1959,Johathan,M
1960,Johnetta,F
1960,Johnita,F
1960,Jonathan,F
1960,Jonathan,M
1960,Jonathon,M
1960,Johnathan,M
1960,Johnathon,M
1960,Jonothan,M
1960,Johnthan,M
1961,Johnetta,F
1961,Jonathan,F
1961,Johnita,F
1961,Johnanna,F
1961,Jonathan,M
1961,Jonathon,M
1961,Johnathan,M
1961,Johnathon,M
1961,Joenathan,M
1961,Johathan,M
1961,Johnston,M
1961,Jonthan,M
1961,Jonathen,M
1962,Johnetta,F
1962,Johnita,F
1962,Jonathan,F
1962,Jonathan,M
1962,Johnathan,M
1962,Jonathon,M
1962,Johnathon,M
1962,Jonothan,M
1962,Joenathan,M
1962,Jonatha,M
1962,Jonthan,M
1962,Johnthan,M
1962,Janathan,M
1962,Johathan,M
1962,Johnston,M
1962,Jonathen,M
1963,Johnetta,F
1963,Johnita,F
1963,Jonathan,F
1963,Jonathan,M
1963,Jonathon,M
1963,Johnathan,M
1963,Johnathon,M
1963,Joenathan,M
1963,Jonthan,M
1963,Johathan,M
1963,Jonothan,M
1963,Johnthan,M
1963,Donathan,M
1964,Johnetta,F
1964,Jonathan,F
1964,Johnita,F
1964,Jonathan,M
1964,Jonathon,M
1964,Johnathan,M
1964,Johnathon,M
1964,Johathan,M
1964,Jonthan,M
1964,Jonothan,M
1964,Joanthan,M
1964,Johnthan,M
1964,Donathan,M
1964,Jonathen,M
1965,Johnetta,F
1965,Johnita,F
1965,Jonathan,F
1965,Johnanna,F
1965,Jonathan,M
1965,Jonathon,M
1965,Johnathan,M
1965,Johnathon,M
1965,Johathan,M
1965,Jonothan,M
1965,Johnthan,M
1965,Joenathan,M
1965,Jonathen,M
1965,Jonthan,M
1966,Johnetta,F
1966,Jonathan,F
1966,Johnita,F
1966,Jonathan,M
1966,Johnathan,M
1966,Jonathon,M
1966,Johnathon,M
1966,Jonothan,M
1966,Johathan,M
1966,Jonthan,M
1966,Johnthan,M
1966,Jonatha,M
1966,Johnathen,M
1966,Johnaton,M
1967,Johnetta,F
1967,Jonathan,F
1967,Johnita,F
1967,Jonathan,M
1967,Jonathon,M
1967,Johnathan,M
1967,Johnathon,M
1967,Johathan,M
1967,Jonothan,M
1967,Jonathen,M
1967,Jonthan,M
1967,Joanthan,M
1967,Johnston,M
1967,Joenathan,M
1967,Johanthan,M
1968,Jonathan,F
1968,Johnetta,F
1968,Johnita,F
1968,Jonathan,M
1968,Johnathan,M
1968,Jonathon,M
