Year,Name,Gender
1964,Joanthan,M
1964,Johnthan,M
1965,Johna,F
1965,Jonathan,F
1965,Johannah,F
1965,Johnanna,F
1965,Jonathan,M
1965,Johnathan,M
1965,Johnathon,M
1965,Johathan,M
1965,Johnthan,M
1965,Joenathan,M
1966,Johna,F
1966,Jonathan,F
1966,Jonathan,M
1966,Johnathan,M
1966,Johnathon,M
1966,Johathan,M
1966,Johnthan,M
1966,Johnathen,M
1966,Johnaton,M
1967,Johna,F
1967,Jonathan,F
1967,Johannah,F
1967,Jonathan,M
1967,Johnathan,M
1967,Johnathon,M
1967,Johathan,M
1967,Joanthan,M
1967,Joenathan,M
1967,Johanthan,M
1968,Johna,F
1968,Jonathan,F
1968,Johannah,F
1968,Jonathan,M
1968,Johnathan,M
1968,Johnathon,M
1968,Johathan,M
1968,Johnthan,M
1968,Joenathan,M
1968,Jonnathan,M
1969,Johna,F
1969,Jonathan,F
1969,Johannah,F
1969,Johnathan,F
1969,Jonathan,M
1969,Johnathan,M
1969,Johnathon,M
1969,Johathan,M
1969,Johnthan,M
1970,Johna,F
1970,Jonathan,F
1970,Johannah,F
1970,Johnanna,F
1970,Jonathan,M
1970,Johnathan,M
1970,Johnathon,M
1970,Johathan,M
1970,Johnthan,M
1970,Jonnathan,M
1970,Joanthan,M
1970,Johnathen,M
1970,Johnaton,M
1971,Johna,F
1971,Jonathan,F
1971,Johannah,F
1971,Johnanna,F
1971,Johnathan,F
1971,Jonathan,M
1971,Johnathan,M
1971,Johnathon,M
1971,Johathan,M
1971,Johnthan,M
1971,Joenathan,M
1971,Jonnathan,M
1971,Joanthan,M
1971,Jonatan,M
1971,Johnathen,M
1972,Jonathan,F
1972,Johna,F
1972,Johannah,F
1972,Jonathan,M
1972,Johnathan,M
1972,Johnathon,M
1972,Johnthan,M
1972,Johathan,M
1972,Joanthan,M
1972,Johnathen,M
1972,Jonnathan,M
1972,Johnothan,M
1973,Jonathan,F
1973,Johna,F
1973,Johannah,F
1973,Johnathan,F
1973,Jonathan,M
1973,Johnathan,M
1973,Johnathon,M
1973,Johathan,M
1973,Johnthan,M
1973,Joanthan,M
1973,Jhonathan,M
1973,Joenathan,M
1973,Johnatha,M
1973,Jonnathan,M
1974,Jonathan,F
1974,Johna,F
1974,Johannah,F
1974,Johnathan,F
1974,Jonathan,M
1974,Johnathan,M
1974,Johnathon,M
1974,Johathan,M
1974,Johnthan,M
1974,Jonnathan,M
1974,Joenathan,M
1974,Joanthan,M
1974,Johnathen,M
1975,Johna,F
1975,Jonathan,F
1975,Johannah,F
1975,Johnanna,F
1975,Johnathan,F
1975,Jonathan,M
1975,Johnathan,M
1975,Johnathon,M
1975,Johathan,M
1975,Johnthan,M
1975,Johnathen,M
1975,Joanthan,M
1975,Jonanthan,M
1975,Joenathan,M
1975,Johnothan,M
1975,Jonatan,M
1976,Jonathan,F
1976,Johna,F
1976,Johannah,F
1976,Johnathan,F
1976,Jonathan,M
1976,Johnathan,M
1976,Johnathon,M
1976,Johathan,M
1976,Joanthan,M
1976,Jonnathan,M
1976,Johnaton,M
1976,Johnthan,M
1976,Johnathen,M
1977,Jonathan,F
1977,Johna,F
1977,Johannah,F
1977,Johnathan,F
1977,Jonathan,M
1977,Johnathan,M
1977,Johnathon,M
1977,Johathan,M
1977,Johnthan,M
1977,Jonanthan,M
1977,Joanthan,M
1977,Johnathen,M
1977,Johnaton,M
1977,Jonnathan,M
1977,Johnnathan,M
1977,Jonahtan,M
1978,Jonathan,F
1978,Johna,F
1978,Johannah,F
1978,Johnathan,F
1978,Jonathan,M
1978,Johnathan,M
1978,Johnathon,M
1978,Johathan,M
1978,Joanthan,M
1978,Johnthan,M
1978,Jonnathan,M
1978,Johnathen,M
1978,Johanthan,M
1978,Johnaton,M
1978,Joenathan,M
